waveform	[0]	[1]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.001000	0.001000

time	Y[0]	Y[1]
12/31/1903  19:00:00.276000	1.725872E+0	-2.453847E+0
12/31/1903  19:00:00.277000	1.600401E+0	-2.537463E+0
12/31/1903  19:00:00.278000	1.470886E+0	-2.614669E+0
12/31/1903  19:00:00.279000	1.337656E+0	-2.685270E+0
12/31/1903  19:00:00.280000	1.201047E+0	-2.749088E+0
12/31/1903  19:00:00.281000	1.061404E+0	-2.805962E+0
12/31/1903  19:00:00.282000	9.190798E-1	-2.855747E+0
12/31/1903  19:00:00.283000	7.744339E-1	-2.898319E+0
12/31/1903  19:00:00.284000	6.278317E-1	-2.933569E+0
12/31/1903  19:00:00.285000	4.796436E-1	-2.961409E+0
12/31/1903  19:00:00.286000	3.302438E-1	-2.981768E+0
12/31/1903  19:00:00.287000	1.800098E-1	-2.994595E+0
12/31/1903  19:00:00.288000	2.932106E-2	-2.999857E+0
12/31/1903  19:00:00.289000	-1.214417E-1	-2.997541E+0
12/31/1903  19:00:00.290000	-2.718977E-1	-2.987653E+0
12/31/1903  19:00:00.291000	-4.216669E-1	-2.970218E+0
12/31/1903  19:00:00.292000	-5.703709E-1	-2.945280E+0
12/31/1903  19:00:00.293000	-7.176341E-1	-2.912903E+0
12/31/1903  19:00:00.294000	-8.630845E-1	-2.873166E+0
12/31/1903  19:00:00.295000	-1.006355E+0	-2.826172E+0
12/31/1903  19:00:00.296000	-1.147083E+0	-2.772039E+0
12/31/1903  19:00:00.297000	-1.284913E+0	-2.710904E+0
12/31/1903  19:00:00.298000	-1.419498E+0	-2.642920E+0
12/31/1903  19:00:00.299000	-1.550497E+0	-2.568260E+0
12/31/1903  19:00:00.300000	-1.677579E+0	-2.487113E+0
12/31/1903  19:00:00.301000	-1.800423E+0	-2.399683E+0
12/31/1903  19:00:00.302000	-1.918720E+0	-2.306191E+0
12/31/1903  19:00:00.303000	-2.032169E+0	-2.206873E+0
12/31/1903  19:00:00.304000	-2.140485E+0	-2.101981E+0
12/31/1903  19:00:00.305000	-2.243394E+0	-1.991779E+0
12/31/1903  19:00:00.306000	-2.340636E+0	-1.876545E+0
12/31/1903  19:00:00.307000	-2.431966E+0	-1.756571E+0
12/31/1903  19:00:00.308000	-2.517152E+0	-1.632160E+0
12/31/1903  19:00:00.309000	-2.595979E+0	-1.503626E+0
12/31/1903  19:00:00.310000	-2.668249E+0	-1.371294E+0
12/31/1903  19:00:00.311000	-2.733779E+0	-1.235497E+0
12/31/1903  19:00:00.312000	-2.792403E+0	-1.096580E+0
12/31/1903  19:00:00.313000	-2.843973E+0	-9.548927E-1
12/31/1903  19:00:00.314000	-2.888358E+0	-8.107932E-1
12/31/1903  19:00:00.315000	-2.925448E+0	-6.646455E-1
12/31/1903  19:00:00.316000	-2.955148E+0	-5.168189E-1
12/31/1903  19:00:00.317000	-2.977382E+0	-3.676867E-1
12/31/1903  19:00:00.318000	-2.992096E+0	-2.176258E-1
12/31/1903  19:00:00.319000	-2.999251E+0	-6.701507E-2
12/31/1903  19:00:00.320000	-2.998830E+0	8.376492E-2
12/31/1903  19:00:00.321000	-2.990834E+0	2.343333E-1
12/31/1903  19:00:00.322000	-2.975283E+0	3.843097E-1
12/31/1903  19:00:00.323000	-2.952215E+0	5.333154E-1
12/31/1903  19:00:00.324000	-2.921690E+0	6.809738E-1
